seance_id,film_id,salle_id,date_seance,creneau,jour_semaine,nb_spectateurs,taux_occupation
1,34,2,2024-07-01,14h00,Lundi,50,63.08
2,48,3,2024-07-01,11h30,Lundi,3,5.21
3,57,3,2024-07-01,18h30,Lundi,47,79.66
4,68,1,2024-07-01,20h30,Lundi,58,82.8
5,105,3,2024-07-01,20h30,Lundi,58,97.59
6,34,1,2024-07-01,09h00,Lundi,21,29.92
7,96,2,2024-07-01,14h00,Lundi,21,26.36
8,44,2,2024-07-01,20h30,Lundi,58,73.09
9,82,3,2024-07-01,18h30,Lundi,25,42.01
10,7,1,2024-07-01,20h30,Lundi,63,89.88
11,55,3,2024-07-01,09h00,Lundi,51,85.6
12,82,3,2024-07-01,11h30,Lundi,15,25.46
13,95,4,2024-07-01,18h30,Lundi,45,60.77
14,15,1,2024-07-01,20h30,Lundi,51,73.2
15,20,1,2024-07-01,22h00,Lundi,33,47.64
16,56,2,2024-07-01,09h00,Lundi,60,76.14
17,40,3,2024-07-01,22h00,Lundi,18,31.37
18,46,2,2024-07-01,20h30,Lundi,51,64.4
19,32,1,2024-07-01,14h00,Lundi,35,49.69
20,53,2,2024-07-01,11h30,Lundi,48,60.53
21,21,2,2024-07-01,16h30,Lundi,65,81.36
22,43,4,2024-07-01,22h00,Lundi,23,31.04
23,86,2,2024-07-01,14h00,Lundi,38,48.07
24,49,1,2024-07-01,22h00,Lundi,31,43.7
25,29,2,2024-07-02,22h00,Mardi,54,67.7
26,102,2,2024-07-02,11h30,Mardi,15,19.54
27,4,2,2024-07-02,16h30,Mardi,45,56.67
28,99,3,2024-07-02,14h00,Mardi,37,63.14
29,83,4,2024-07-02,20h30,Mardi,69,92.77
30,4,1,2024-07-02,14h00,Mardi,37,53.24
31,23,3,2024-07-02,09h00,Mardi,14,24.96
32,94,3,2024-07-02,16h30,Mardi,30,50.07
33,78,1,2024-07-02,16h30,Mardi,48,68.29
34,6,4,2024-07-02,09h00,Mardi,15,20.4
35,67,2,2024-07-02,14h00,Mardi,4,5.42
36,43,3,2024-07-02,20h30,Mardi,46,77.24
37,16,3,2024-07-02,18h30,Mardi,48,80.53
38,52,3,2024-07-02,18h30,Mardi,41,69.45
39,17,2,2024-07-02,16h30,Mardi,44,56.03
40,96,2,2024-07-02,18h30,Mardi,43,54.92
41,73,3,2024-07-02,16h30,Mardi,37,61.67
42,37,2,2024-07-02,16h30,Mardi,38,47.9
43,101,3,2024-07-02,16h30,Mardi,22,38.18
44,66,4,2024-07-02,22h00,Mardi,40,54.44
45,102,2,2024-07-02,20h30,Mardi,72,90.44
46,82,3,2024-07-02,09h00,Mardi,11,19.34
47,105,2,2024-07-02,20h30,Mardi,55,69.94
48,4,1,2024-07-03,11h30,Mercredi,39,55.2
49,61,1,2024-07-03,16h30,Mercredi,21,30.47
50,25,4,2024-07-03,16h30,Mercredi,52,70.66
51,52,2,2024-07-03,11h30,Mercredi,67,84.3
52,97,1,2024-07-03,22h00,Mercredi,21,30.95
53,55,2,2024-07-03,11h30,Mercredi,72,91.17
54,60,1,2024-07-03,18h30,Mercredi,28,40.54
55,32,1,2024-07-03,16h30,Mercredi,50,70.98
56,68,3,2024-07-03,22h00,Mercredi,34,57.97
57,57,4,2024-07-03,22h00,Mercredi,26,35.87
58,21,4,2024-07-03,16h30,Mercredi,41,54.8
59,34,2,2024-07-03,22h00,Mercredi,35,44.74
60,67,4,2024-07-03,20h30,Mercredi,52,69.44
61,31,3,2024-07-03,16h30,Mercredi,42,70.7
