spectateur_id,seance_id,tranche_age
1,1,Tarif normal (26-60)
2,1,Moins de 14
3,1,Senior (60+)
4,1,Senior (60+)
5,1,Senior (60+)
6,1,Senior (60+)
7,1,Moins de 14
8,1,Moins de 26
9,1,Moins de 26
10,1,Tarif normal (26-60)
11,1,Senior (60+)
12,1,Moins de 26
13,1,Tarif normal (26-60)
14,1,Senior (60+)
15,1,Senior (60+)
16,1,Moins de 14
17,1,Moins de 14
18,1,Senior (60+)
19,1,Senior (60+)
20,1,Tarif normal (26-60)
21,1,Tarif normal (26-60)
22,1,Tarif normal (26-60)
23,1,Tarif normal (26-60)
24,1,Moins de 14
25,1,Tarif normal (26-60)
26,1,Tarif normal (26-60)
27,1,Tarif normal (26-60)
28,1,Moins de 14
29,1,Tarif normal (26-60)
30,1,Moins de 26
31,1,Tarif normal (26-60)
32,1,Tarif normal (26-60)
33,1,Moins de 14
34,1,Moins de 26
35,1,Senior (60+)
36,1,Tarif normal (26-60)
37,1,Tarif normal (26-60)
38,1,Senior (60+)
39,1,Senior (60+)
40,1,Senior (60+)
41,1,Moins de 14
42,1,Moins de 26
43,1,Tarif normal (26-60)
44,1,Tarif normal (26-60)
45,1,Tarif normal (26-60)
46,1,Senior (60+)
47,1,Tarif normal (26-60)
48,1,Moins de 26
49,1,Moins de 14
50,1,Senior (60+)
51,2,Moins de 26
52,2,Tarif normal (26-60)
53,2,Tarif normal (26-60)
54,3,Moins de 26
55,3,Moins de 26
56,3,Moins de 26
57,3,Tarif normal (26-60)
58,3,Moins de 14
59,3,Moins de 14
60,3,Tarif normal (26-60)
61,3,Moins de 26
62,3,Tarif normal (26-60)
63,3,Tarif normal (26-60)
64,3,Moins de 14
65,3,Senior (60+)
66,3,Moins de 26
67,3,Senior (60+)
68,3,Senior (60+)
69,3,Tarif normal (26-60)
70,3,Moins de 26
71,3,Tarif normal (26-60)
72,3,Tarif normal (26-60)
73,3,Moins de 14
74,3,Moins de 26
75,3,Tarif normal (26-60)
76,3,Tarif normal (26-60)
77,3,Tarif normal (26-60)
78,3,Moins de 26
79,3,Moins de 26
80,3,Tarif normal (26-60)
81,3,Senior (60+)
82,3,Moins de 14
83,3,Tarif normal (26-60)
84,3,Senior (60+)
85,3,Tarif normal (26-60)
86,3,Moins de 26
87,3,Tarif normal (26-60)
